"line_number","citations","text"
"56","4;16;21;22;28","| Iteration viability | Can the method run at the cadence required by closure loops? | GPU STA/PBA [21], [22]; reduced characterization cost [4]; faster corner execution [16], [28] |"
"68","1;7;12;16;19;23","Timing closure is difficult not because arrival-time propagation is conceptually mysterious, but because the target keeps moving while the flow is optimizing toward it. The netlist changes during sizing and buffering [1]. The routing topology changes when timing-driven routing is refined [7]. The same design is evaluated under many corners, modes, and constraint settings [16]. ECO iterations change path structure late in the flow [19]. Aging changes which paths remain critical over lifetime [23]. Dynamic supply noise changes delay under real operating conditions [12]. In other words, closure is not a single prediction task. It is a sequence of related but drifting timing tasks."
"72","1;5;17;29;50","Slack remains the summary quantity that guides most optimization loops, yet its interpretation is less trivial than many ML papers assume. Vygen shows in [50] that positive slack in the standard STA model does not necessarily imply that the circuit can tolerate an equal additional delay at the same point. That is more than a theoretical objection. If a model is trained to predict slack, or an optimizer is trained to improve WNS and TNS, the underlying semantics of the label matter. The pre-routing slack predictor in [5] learns endpoint slack directly. The preplacement framework in [29] uses slack, WNS, and TNS as core evaluation targets. The placement-guidance method in [1] and the pre-route optimization framework in [17] both report WNS and TNS improvement as closure metrics. Those reported gains are meaningful only if the slack label still carries the decision semantics designers intend to optimize."
"76","37;40","Classical STA identifies graph-critical paths under worst-case assumptions, but operational criticality depends on sensitization and probability as well as topological delay. Extended STA in [37] makes this point directly by quantifying timing-error probability over input combinations and reducing pessimism relative to standard STA while remaining far faster than Monte Carlo timing simulation. Viability-analysis-based true-path identification in [40] reaches a similar conclusion from a different angle: the statistically longest true paths can be found more efficiently than exhaustive search, and they are not always the same as the nominal longest graph paths. These papers affect learning-based timing directly because training labels built from ordinary graph-criticality assumptions can encode the wrong notion of risk."
"80","18;43;45;47;49","Multi-corner STA dominates practice because it is operationally simple, but the deeper uncertainty problem is statistical. The survey in [49] defines the main SSTA split between block-based and path-based analysis and explains why delay correlation is central rather than optional. Bosak in [18] recasts histogram-based SSTA as binary-integer and geometric programming, which makes the timing engine look less like a fixed heuristic and more like an optimization problem. Li et al. in [43] address hierarchical SSTA directly by extracting compact IP timing models and then reconstructing intermodule correlation during full-chip analysis. Wu et al. in [45] estimate path-delay distributions and cell-to-cell and path-to-path correlations by propagating conditional moments conditioned on input slope and output load. Veetil et al. in [47] stay closer to simulation by accelerating Monte Carlo itself with smart sampling, which keeps statistical timing grounded in sampled behavior while reducing runtime."
"84","32;35;36;41;42","Timing closure is also limited by how well the underlying delay primitives capture physics. Copula-based gate-delay modeling in [32] addresses non-Gaussian dependence structures that Gaussian approximations miss. Adjacency criticality in [35] improves statistical timing-yield optimization by redefining gate importance to include fan-out-cone effects rather than only local criticality. Stochastic logical effort in [41] provides a lightweight variation-aware delay abstraction and combines effectively with smart Monte Carlo yield estimation. The current-fluctuation delay model in [42] translates wide PVT variation into modified output load and reshaped input waveform so that conventional models can still be used accurately. The near-subthreshold analytical model in [36] addresses a regime where process randomness is amplified by voltage scaling and where conventional assumptions become especially fragile."
"88","31;38;44;46;48","Several papers remind us that robust timing is not only about variation. FA-STAC in [48] treats crosstalk delay as an iterative coupling problem and accelerates convergence with heuristic and current-source-based models plus scheduling and partitioning. Salman in [46] studies interdependent setup-hold constraints and shows that using the interaction directly reduces delay uncertainty instead of leaving that margin hidden inside conservative guardbands. Cao et al. in [31] extend the same idea to near-threshold flip-flops, where setup, hold, and clock-to-Q dependence becomes more nonlinear and the usable timing region changes more sharply with voltage. Chithira and Vasudevan in [38] show that aging-aware global criticality peaks at t = 0 or at discrete breakpoint times, which means a time-varying analysis can avoid evaluating every instant. Wang et al. in [44] add BTI variability and path correlation to temporal statistical timing, so aging is treated as a correlated stochastic timing problem rather than as a fixed derate."
"94","27","The earliest ML timing papers in the corpus are careful about scope. The RTL framework in [27] predicts pin-to-pin delay and slew for combinational RTL blocks and reports an 8.4x runtime improvement over running the full downstream flow. Its contribution is early ranking of risky logic regions before synthesis, placement, and routing make the correction cost high. It does not attempt to replace physical timing; it screens where later implementation effort should be spent."
"96","29","Preplacement estimation is harder because geometry has not yet emerged from placement. The customized GNN approach in [29] addresses this by inserting a predicted net-length surrogate between topology and timing. Instead of mapping netlist structure directly to slack with no explicit physical bridge, the model predicts net lengths first and then derives timing estimates from them. The paper reports a fast variant that is over 1000x faster than placement and lower MAE for slack, WNS, and TNS than commercial preplacement timing reports. The methodological lesson is concrete: early-stage ML is more stable when it reconstructs at least one missing physical variable instead of pretending the variable does not matter."
"100","1","Placement is where ML starts to interact directly with optimization. The GNN-based framework in [1] does not only predict timing. It predicts candidate gate-sizing and buffer-insertion solutions and identifies path groups likely to violate timing. In reported experiments it improves WNS, TNS, and the number of violating paths while also slightly reducing wirelength. The point of the paper is procedural: the model output is already phrased as the next optimization move."
"102","1;2;3","The placement-stage model in [3] goes a step further by making the predictor derivable. Instead of using gradient boosting as a black-box regressor, the paper converts it into a function that can provide optimization guidance inside iterative placement. The complex-network approach in [2] attacks the same stage from a different angle. It augments standard placement features with timing-path topology descriptors and reports lower MSE for slack and delay, smaller WNS and TNS deviation, and better AUC for critical-path identification. Read together with [1], these papers make two separate requirements visible: the representation must encode signal-propagation structure, and the output must be usable by the optimizer rather than only by an offline evaluator."
"106","13;25","A large share of the ML work that transfers cleanly into deployment does not attempt to replace physics or signoff. It restores correlation between abstractions. The Random-Forest study in [25] raises average cell-delay accuracy to about 91.25% and reduces RMSE from 16.958 to 4.469 by learning the gap between a post-placement estimator and a higher-fidelity reference. The ensemble-tree extension in [13] extends that idea to Extremely Randomized Trees and Gradient Boosting on enriched 16 nm industrial data, reporting 92.01% average accuracy and 84.26% on unseen data. In both papers, ML is not the final judge of timing; it is a correction layer that moves a cheap stage closer to a higher-fidelity one."
"110","5;17","Pre-route prediction is attractive because routing dominates closure cost, but it is also where naive ML is most exposed. The GAT-based slack predictor in [5] follows the timing graph with alternating attention and propagation layers, so its structure mirrors net and cell updates rather than treating the design as a generic graph. The hierarchical GNN+CNN framework in [17] is even more explicit about what is missing before routing. Its level-1 models predict net resistance, net capacitance, and arc-length increment; its level-2 models then use those outputs to predict arc delay and arc slew. In the reported flow, that structure improves arc delay and slew accuracy by 42% and 36% on average and improves WNS, TNS, and violation count by 77%, 77%, and 64%. The concrete lesson is that pre-route ML becomes more stable when it reconstructs the absent physical quantities instead of trying to jump directly to post-route timing."
"114","8","Several of the best recent papers focus on stage mismatch directly. PRO-TIME in [8] argues that many prerouting predictors are mis-specified because they are trained on flows that omit timing optimization, even though timing optimization is precisely what reshapes the netlist and the endpoint features that matter in practice. Its multimodal architecture combines a customized GNN for the netlist with a U-net-based layout encoder and an adaptive masking strategy. That is not architectural ornamentation. It is a response to feature mismatch caused by the flow itself."
"116","7;10","The GR-to-DR correction paper in [10] addresses a related but more deployment-oriented mismatch: post-global-route wire parasitics derived from route guides and Steiner trees can deviate substantially from post-detailed-route truth, especially in macro-heavy designs. The paper learns corrected post-DR parasitics and timing from post-GR features, adds macro-blockage features, and shows that the corrected estimates improve post-DR slack without increasing congestion. The signoff-oriented routing-topology framework in [7] closes the same gap from the optimization side. It uses a learned signoff evaluator to guide Steiner-point adjustment and topology reconstruction, reporting 11.2% WNS improvement, 7.1% TNS improvement, and 25.9% shorter optimization duration in its joint flow. In both cases, the model is only meaningful because it changes the routed signoff result rather than merely fitting a held-out label."
"120","4;6;19","Timing prediction is expensive largely because labels are expensive. Transfer learning addresses that problem in several places in the corpus. The cell-library characterization framework in [4] transfers knowledge across timing arcs by quantifying task similarity and reports error reductions of up to 80% in 45 nm MOSFET libraries and 67% in 14 nm FinFET libraries. The cross-node timing predictor in [6] transfers from older-node data to 7 nm by disentangling path features and reweighting source data using cell-type distributions, rather than assuming naive fine-tuning will work. The ECO framework in [19] applies transfer inside one evolving design: it predicts transition time first, then delay, reuses the first-stage representation, reports average R2 around 0.9952 with MAE around 13.36, and cuts path-delay evaluation time by up to 80x. These are different transfer problems, but each one identifies a concrete piece of timing structure that survives the domain shift."
"124","9;16;28","Some of the most convincing deployment papers avoid direct timing prediction as the end goal. The multicorner framework in [16] combines latent-feature modeling with a Bayesian decision layer that requests extra STA when prediction confidence is too low; that is how it pushes toward near-100% reliable prediction rather than just lower average error. The dominant-corner strategy in [28] attacks the scenario-selection problem directly and reports more than 2x timing-closure acceleration by predicting non-dominant corners from a small dominant set. TimeBoost in [9] moves the learning target one level higher again: it classifies stage complexity and selects among existing timing-analysis methods, reaching up to 3.86x runtime improvement with only 3%-4% overhead. These papers all learn when and where timing effort should be spent."
"128","11;12;24","ML is also being applied below the graph level. Deep-learning cell-delay modeling in [24] revisits the conventional NLDM abstraction and shows that waveform-aware learned models can beat a standard 7x7 NLDM-LUT in average percentage error while also improving maximum error relative to a much larger 100x100 LUT. The interpolation framework in [11] attacks a narrower but pervasive bottleneck: it uses an R-CNN plus VAE to interpolate timing tables, cuts timing-parameter error by 19.7%, reduces path-delay error by 3.4%, and limits runtime cost to a reported 13% overhead through GPU parallelism. The PSN-aware timing engine in [12] trains MLP models on noise-aware arc data and integrates them through JIT compilation; its reported average relative error is 4.89% for single-cell timing and 6.27% for path delay. These papers focus on primitive timing kernels rather than full-chip prediction."
"132","14;15;23;26","Aging-aware cell timing via heterogeneous graph attention in [14] improves primitive timing modeling under degradation by embedding multi-typed devices and arc structure inside the cell model. Path-level aging prediction in [15] combines a spatial-temporal transformer with graph attention so that both topology and workload history shape the predicted degradation; the paper reports an average MAPE of 3.96%. Aging-aware critical-path selection in [23] focuses on ranking and reports top-10%, top-5%, and top-1% path-set accuracies of 99.52%, 98.69%, and 97.20% on industrial designs. AVATAR in [26] goes beyond static signoff and combines aging, variation, and dynamic timing analysis for better-than-worst-case operation. These papers are solving different lifetime problems at different levels of the timing stack."
"136","30;33;34","Several papers embed ML into timing uncertainty itself rather than only into nominal delay prediction. The neural timing-analysis algorithm in [30] learns the mean and standard deviation of gate delay under PVT variation, keeps mean error below 2% and standard-deviation error below 3.64% relative to SPICE Monte Carlo, and combines that with viability analysis for true-path reasoning. The path-delay-variation framework in [33] learns cross-corner variation directly to reduce characterization effort for multi-corner prediction. NN-SSTA in [34] does not predict path delay at all; it approximates the statistical max and convolution operators inside discrete SSTA and reports about 20.7x average speedup over the conventional discrete flow. The common thread is precise: ML is being used to approximate the expensive operators of statistical timing, not only the final labels."
"142","21","The rise of ML in timing does not reduce the need for acceleration. It raises the premium on being able to call trusted reference analysis more often. The GPU PBA framework in [21] addresses the most expensive exact-analysis step by redesigning data structures, preprocessing, and kernels for GPU execution. Because PBA reduces graph-based pessimism but is often too expensive to call repeatedly, the reported speedups on million-gate designs change how frequently pessimism reduction can participate in closure rather than being reserved for the very end."
"144","22","The CPU-GPU heterogeneous STA engine in [22] covers more of the engine workload. It accelerates levelization, delay computation, graph propagation, incremental updates, and multicorner analysis, all while preserving a realistic execution model with CPU-GPU concurrency and managed dependencies. Its multicorner acceleration is not an incidental benchmark result; it directly targets the scenario explosion that dominates timing-closure runtime in modern flows."
"148","9;11;16;28","GPU acceleration and ML should not be seen as two alternative answers to the same question. TimeBoost in [9] trims analysis cost by choosing among timing methods from stage-complexity features. The interpolation framework in [11] trims the overhead of a better timing primitive by parallelizing large batches of table queries. The multicorner system in [16] trims wasted STA runs by gating predictions with a Bayesian decision layer. The dominant-corner system in [28] trims the scenario set by selecting a small corner subset to execute directly. The split is concrete: ML reduces how much exact analysis is needed, and GPU acceleration reduces the cost of the exact analysis that still remains."
"156","1;9;16;28","The first recurring design rule is that ML systems transfer better into flows when they learn *which action or method should be taken* instead of predicting final timing unconditionally. TimeBoost in [9] learns the timing-method choice from stage complexity. The Bayesian multicorner framework in [16] learns whether a prediction should be accepted or whether another STA run should be triggered. The dominant-corner approach in [28] learns which scenarios should be executed and which can be inferred. The placement-guidance framework in [1] learns candidate sizing and buffering moves. These are bounded action spaces, which is one reason they are easier to trust than unconstrained end-to-end delay regressors."
"160","7;10;12;13;25","The second design rule is that ML performs better in deployment when it is tied to a higher-fidelity reference analysis rather than treated as a replacement. Post-placement correction in [25] and [13] learns toward higher-fidelity cell-delay references. GR-to-DR correction in [10] learns detailed-route parasitics and timing from cheaper global-route features. The routing-topology framework in [7] still optimizes against final signoff WNS and TNS instead of a free-standing proxy objective. The PSN-aware engine in [12] preserves the outer STA structure and replaces only the arc-delay primitive with JIT-integrated learned models. In each case, the trusted timing notion remains visible."
"164","1;3;8;19","Predictors fail in closure not only because the mapping is hard, but because the input distribution changes during the very optimization loop they are supposed to help. PRO-TIME models optimization-induced feature mismatch explicitly [8]. TSTL-GNN is designed for ECO-induced topology change [19]. The placement-guidance framework in [1] produces actions in a regime where gate sizing and buffering are themselves changing topology. The derivable timing model in [3] is designed to live inside iterative placement rather than outside it. This suggests a concrete rule for future work: if the flow itself changes the feature space, robustness requires modeling that transformation explicitly."
"168","4;12;17;29","Another consistent design rule is that models become more robust when they predict physically meaningful intermediates. The preplacement model in [29] predicts net length before timing because topology alone does not encode wire geometry. The pre-route flow in [17] predicts net R, net C, and arc-length increment before arc delay and slew. The transfer framework in [4] uses similarity among timing arcs as the reusable intermediate structure rather than treating every arc as a separate task. The PSN-aware engine in [12] parameterizes noise by quantities such as amplitude, duration, and shape before regressing arc timing. These intermediate quantities make the learning problem less brittle because they are closer to how delay is physically formed."
"172","23;27;35;37;40","Timing closure is usually a prioritization problem before it is a scalar-regression problem. Aging-aware path selection in [23] uses top-set accuracy because designers care whether the right paths are surfaced. Extended STA in [37] and viability analysis in [40] refine the notion of true criticality by moving from graph-longest paths toward probabilistically relevant paths. Adjacency criticality in [35] improves yield-oriented optimization by redefining gate importance. Even early RTL delay prediction in [27] serves chiefly as a screen for risky regions rather than a source of final-delay values. A robust timing methodology therefore should be evaluated by how well it preserves the right ordering and the right critical set."
"176","11;21;22","The systems that integrate cleanly into real flows do not eliminate fallback to trusted analysis. They make fallback cheaper. GPU PBA in [21] makes pessimism reduction callable during closure instead of only near tapeout. Heterogeneous STA in [22] reduces the cost of multicorner and incremental graph analysis. GPU-parallel interpolation in [11] reduces the cost of a more accurate primitive. This rule is central to ML deployment because predictive uncertainty is inevitable. A system with cheap fallback is safer than a system that must trust every prediction."
"180","6;12;14;15;16;23;28;46;48;49","The corpus repeatedly shows that there is no single robustness axis. The SSTA survey in [49] deals with process variation and correlation. FA-STAC in [48] deals with crosstalk-induced delay interaction. Salman’s interdependent-constraint work in [46] deals with uncertainty in sequential timing windows. The cross-node predictor in [6] deals with technology migration. The aging models in [14], [15], and [23] deal with lifetime drift at cell, path, and ranking levels. The PSN-aware engine in [12] deals with dynamic operating-state variation. The multicorner systems in [16] and [28] deal with scenario explosion. The point is specific: each paper addresses a different failure mode, so “robustness” cannot be summarized by one benchmark."
"186","27;29","| Early screening | [27], [29] | RTL delay or preplacement timing ranking | Ranking utility rather than signoff replacement | Over-trusting estimates before physical variables exist |"
"187","1;2;3","| Placement-stage action models | [1], [2], [3] | Sizing, buffering, or optimization-compatible surrogates | Direct coupling to placement decisions | Feature drift as optimization changes topology |"
"188","7;10;13;25","| Correlation-restoration models | [25], [13], [10], [7] | Post-placement or GR-to-DR correction toward stronger truth | Stronger downstream reference or signoff metric | Toolflow-specific correction that may not transfer |"
"189","4;6;19","| Transfer and ECO models | [4], [6], [19] | Reusable arc, node, or stage representations | Explicit transfer structure | Domain shift when the reusable structure is misidentified |"
"190","9;16;28","| Scenario and method decision layers | [16], [28], [9] | Corner selection, fallback gating, or method selection | Bayesian gating or bounded method choice | Missed violations if uncertainty control is weak |"
"191","11;12;24;30;34","| Primitive timing models | [24], [11], [12], [30], [34] | Cell-delay kernels, interpolation, PSN arcs, or statistical operators | Physics-preserving primitive inside STA/SSTA | Better local error without guaranteed closure benefit |"
"192","21;22","| Engine acceleration | [21], [22] | PBA or multicorner STA kernels | Trusted timing engine remains in the loop | Runtime gains reduced by irregularity or integration overhead |"
"200","18;37;40;43;45;47;50","Any integrated flow should begin by treating timing metrics as semantically loaded rather than purely numerical. Slack semantics from [50] determine whether a learned slack target still means “available timing margin.” True-path reasoning from [37] and [40] determines whether the reported critical path is merely graph-longest or actually operationally relevant. Bosak in [18] provides the optimization formulation when histogram propagation must coexist with explicit constraints. Li et al. in [43] provide the compression-and-recorrelation machinery needed when IP-level timing models are abstracted and then reassembled at full-chip scope. Wu et al. in [45] provide conditional-moment propagation when path-delay distributions and correlation structure must be carried explicitly. Veetil et al. in [47] provide a simulation-grounded fallback when sampled statistical checks are still needed but brute-force Monte Carlo is too slow. This layer is the guardrail against optimizing the wrong quantity."
"204","1;3;27;29","At the earliest stages, the objective is not signoff equivalence. It is triage. RTL delay prediction in [27] screens risky combinational regions before implementation. Preplacement estimation in [29] adds a net-length surrogate so timing can be ranked before placement exists. Placement-stage guidance in [1] proposes candidate sizing and buffering actions, and derivable placement modeling in [3] turns the timing surrogate into a usable optimization signal inside placement. In this layer, the key question is not whether the model matches final signoff numerically; it is whether the model points the optimizer toward the right early decisions."
"208","5;7;8;10;13;17;25","Once the flow enters placement and routing, the dominant problem becomes alignment to higher-fidelity downstream truth. The Random-Forest corrector in [25] learns the cell-delay gap between a post-placement estimator and a higher-fidelity reference, and the ensemble follow-up in [13] shows the same idea survives richer 16 nm industrial data. The hierarchical pre-route model in [17] predicts net R, net C, arc length, arc delay, and arc slew before routing, while the slack model in [5] follows the timing graph with alternating attention and propagation layers. PRO-TIME in [8] addresses the next failure mode by making the target optimization-aware and by fusing netlist and layout embeddings so endpoint features remain meaningful after timing optimization. The GR-to-DR model in [10] learns detailed-route parasitics from global-route features, and the routing-topology framework in [7] uses a learned signoff evaluator to modify Steiner topology itself. This layer earns trust only when it narrows the gap between the current abstraction and final routed timing."
"212","9;16;28","As corner count grows, unconditional execution of every scenario in every iteration becomes unrealistic. The dominant-corner method in [28] reduces the scenario set by selecting a small subset of corners to execute directly and predicting the rest from them. The Bayesian multicorner framework in [16] adds the next safeguard by deciding when a prediction is reliable enough and when an extra STA run is still needed. TimeBoost in [9] performs a similar gating step at the method level by choosing whether a stage deserves a cheaper or more accurate analysis routine. These systems save runtime only because they make the trust decision explicit."
"216","11;12;21;22","The integrated flow still needs a trustworthy analysis substrate. GPU PBA in [21] accelerates shortest-path-forest generation, ranking, constrained subgraph handling, and other path-based kernels so that pessimism reduction can be used earlier and more often. Heterogeneous STA in [22] accelerates levelization, RC computation, propagation, LUT lookup, incremental updates, and multicorner batching inside a trusted engine. GPU-parallel interpolation in [11] keeps a more accurate timing-table primitive cheap enough for repeated use, and JIT-integrated noise-aware arc models in [12] make PSN-aware timing feasible inside STA rather than in an external script. This is the layer that keeps exact timing affordable enough to remain the fallback."
"220","14;15;23;26;38;44","Finally, closure must remain valid beyond nominal operation. The cell-level model in [14] learns aging-aware delay from multi-typed device graphs. The path-level model in [15] adds workload-aware degradation through a spatial-temporal transformer plus graph attention. The ranking flow in [23] identifies which path sets become critical after aging instead of assuming the nominal critical set remains dominant. AVATAR in [26] extends the question into dynamic timing and better-than-worst-case operation. BTI-aware statistical timing in [44] and time-varying SSTA in [38] provide the physical and probabilistic basis for those models. In a mature integrated flow, these are the mechanisms that decide whether “closed timing” stays closed after deployment."
"230","27;29","1. Screen the design early with RTL or preplacement models so risky logic regions and likely long nets are surfaced before physical implementation [27], [29]."
"231","1;3","2. Use placement-stage action models to propose sizing, buffering, or gradient-based placement moves rather than only predicting timing passively [1], [3]."
"232","8;10;13;17;25","3. After placement and during routing, restore correlation to downstream truth with post-placement correction, hierarchical pre-route prediction, optimization-aware embeddings, and GR-to-DR correction [25], [13], [17], [8], [10]."
"233","9;16;28","4. When scenario count becomes prohibitive, reduce analysis load with dominant-corner selection, Bayesian multicorner gating, or method selection, but keep explicit fallback to extra STA when confidence is weak [28], [16], [9]."
"234","11;12;21;22","5. Invoke accelerated trusted analysis for the expensive steps that still matter, especially PBA, multicorner propagation, and high-volume timing-kernel execution [21], [22], [11], [12]."
"235","14;15;23;26;38;44","6. Re-evaluate closure under aging, BTI, workload drift, and dynamic operating conditions before treating nominal closure as final [14], [15], [23], [44], [38], [26]."
"243","1;2;7;10;15;16;17;19;22","The corpus uses MAE, MSE, R2, MAPE, correlation, and classification AUC extensively. The complex-network model in [2] uses MSE, R2, correlation, and AUC to evaluate slack, delay, WNS, TNS, and critical-path identification. The ECO model in [19] uses R2 and MAE because it is judged on post-change path-delay fidelity. The aging path model in [15] uses MAPE because it predicts continuous degradation. Those metrics alone do not show whether a model improves closure. Papers that push further report closure-facing measures: the placement-guidance flow in [1] reports WNS, TNS, and violating-path count; the routing-topology flow in [7] reports signoff WNS, TNS, and optimization duration; the GR-to-DR correction flow in [10] reports post-DR timing and congestion behavior; the multicorner framework in [16] measures reliable runtime reduction; the pre-route optimization flow in [17] measures WNS, TNS, and violation reduction inside P&R; and the heterogeneous STA engine in [22] measures end-to-end runtime on trusted analysis tasks."
"247","4;6;8;10;13;25","High-quality timing labels are expensive because they depend on signoff tools, parasitic extraction, or SPICE characterization. The transfer-learning framework in [4] addresses this by reusing information across similar timing arcs instead of characterizing each arc from scratch. The cross-node model in [6] addresses it by transferring older-node knowledge into a new node with feature alignment and cell-distribution reweighting. PRO-TIME in [8] addresses it by redefining the data-generation process so the labels actually reflect a timing-optimized flow rather than a simplified one. The correction frameworks in [10], [13], and [25] address it by learning the gap to higher-fidelity truth from a narrower supervised slice. Data strategy is therefore part of the method, not preprocessing."
"251","5;8;17;43","Graph models dominate the modern literature because circuits are graphs, but large-netlist scalability remains difficult. The graph-attention slack predictor in [5] already exposes the problem by alternating expressive attention and propagation over timing graphs. The hierarchical pre-route model in [17] reduces the learning burden by splitting the task into level-1 physical surrogates and level-2 timing quantities. PRO-TIME in [8] reduces it differently by using endpoint embeddings and a separate layout encoder instead of one monolithic graph model. The hierarchical timing-model work in [43] suggests an older but still relevant systems answer: compress the timing problem before running the expensive inference step. The open problem is how to combine expressive graph models with this kind of compression without losing the timing relationships that matter."
"255","12;14;15;44;48;49","The literature on dynamic supply noise [12], aging-aware cell modeling [14], path-level aging [15], BTI-aware timing [44], coupling-aware STA [48], and statistical timing under process variation [49] is still largely segmented by effect. Each paper is precise about its own perturbation: [12] models PSN with noise-aware arc parameters and JIT-integrated MLPs, [14] models cell aging from device graphs, [15] models workload-conditioned path aging, [44] models BTI variability over time, [48] models crosstalk through iterative coupling analysis, and [49] covers statistical variation more broadly. What is missing is a single flow that can represent several of these perturbations at once without exploding runtime or collapsing them into one pessimistic guardband."
"259","9;16","The Bayesian decision strategy in [16] couples every prediction with the option of extra STA when confidence is inadequate. TimeBoost in [9] manages uncertainty differently but just as explicitly: it avoids free-running delay regression and instead chooses among existing analysis methods whose runtime and fidelity are already known. Future work should extend this idea from method selection and corner gating to calibrated endpoint-slack uncertainty, out-of-distribution detection under ECO or node migration, and explicit safe-underestimation controls for violation screening."
"263","3;7;17;19","One of the most visible gaps in the literature is that many papers still evaluate predictors outside the optimization loop they are meant to influence. The derivable placement model in [3], the routing-topology framework in [7], the pre-route optimization framework in [17], and the ECO accelerator in [19] all move toward more realistic closed-loop evaluation. More work should follow that direction. A mature benchmark suite for timing ML should include incremental ECO sequences, changing corner sets, fixed runtime budgets, and final QoR outcomes, not only held-out prediction error."
